Time,anger,happy,hate,neutral,sad
08:01,18,176,55,537,256
08:11,16,167,47,544,286
08:21,13,170,43,464,267
08:31,25,152,42,468,284
08:41,16,185,43,539,247
08:51,13,176,33,466,265
09:01,16,176,43,493,255
09:11,16,156,44,542,246
09:21,8,165,43,490,242
09:31,16,159,38,481,274
09:41,11,173,42,400,243
09:51,20,147,37,448,264
10:01,10,165,32,456,249
10:11,19,194,45,455,228
10:21,19,154,33,427,227
10:31,11,142,32,420,252
10:41,9,159,37,425,225
10:51,11,157,36,420,213
11:01,10,153,33,421,245
11:11,15,132,41,412,217
11:21,16,158,27,451,241
11:31,12,136,32,357,229
11:41,16,137,37,398,201
11:51,17,128,27,391,207
12:01,7,129,25,382,180
12:11,15,132,19,363,194
12:21,12,136,34,343,214
12:31,12,128,32,360,174
12:41,13,129,24,358,179
12:51,10,114,43,311,176
13:01,12,129,29,392,167
13:11,7,123,28,318,193
13:21,14,113,31,349,182
13:31,11,108,26,329,163
13:41,13,134,33,350,190
13:51,9,125,20,311,151
14:01,6,113,31,334,197
14:11,8,113,33,360,192
14:21,10,120,18,351,190
14:31,4,124,27,316,173
14:41,14,113,16,299,177
14:51,11,119,27,333,145
15:01,10,105,23,318,156
15:11,8,103,32,328,165
15:21,12,112,23,298,167
15:31,5,97,26,290,152
15:41,10,89,28,296,142
15:51,10,135,21,354,178
16:01,14,98,30,362,167
16:11,6,115,27,318,174
16:21,13,109,25,328,154
16:31,11,105,23,326,168
16:41,8,104,28,322,163
16:51,8,126,22,316,174
17:01,8,93,24,306,163
17:11,9,107,33,322,172
17:21,12,122,22,331,163
17:31,13,117,30,339,186
17:41,10,134,31,330,172
17:51,13,117,25,337,166
18:01,8,91,23,317,170
18:11,4,118,33,310,149
18:21,7,112,30,310,181
18:31,15,93,31,314,195
18:41,16,113,14,353,165
18:51,10,112,29,330,163
19:01,7,131,30,309,178
19:11,6,117,29,345,183
19:21,12,117,34,346,194
19:31,11,141,21,373,175
19:41,11,118,32,362,202
19:51,7,117,35,375,191
20:01,8,128,29,408,200
20:11,16,119,34,389,213
20:21,9,142,29,398,218
20:31,14,141,31,472,234
20:41,16,169,38,452,238
20:51,10,157,38,437,243
21:01,18,153,36,498,229
21:11,21,171,46,493,241
21:21,25,169,42,510,288
21:31,14,197,48,562,249
21:41,25,177,51,537,283
21:51,15,187,36,503,263
22:01,17,202,53,543,279
22:11,21,228,50,563,333
22:21,19,206,47,600,340
22:31,23,212,56,565,313
22:41,19,206,42,684,374
22:51,14,210,45,623,344
23:01,26,226,45,656,347
23:11,27,238,48,642,343
23:21,21,199,59,640,403
23:31,16,230,50,639,372
23:41,26,212,61,668,375
23:51,14,226,63,683,380
00:01,25,210,46,691,389
00:11,22,231,70,725,355
00:21,34,246,69,689,383
00:31,21,211,56,680,369
00:41,28,244,59,711,433
00:51,22,248,58,763,431
01:01,18,255,56,722,408
01:11,21,248,57,782,401
01:21,31,233,66,742,383
01:31,28,238,57,756,435
01:41,29,232,60,772,409
01:51,19,233,64,763,394
02:01,24,235,72,768,411
02:11,23,310,82,874,420
02:21,31,296,65,836,424
02:31,32,303,60,899,465
02:41,24,285,63,889,417
02:51,28,304,68,909,455
03:01,23,272,73,900,452
03:11,28,310,74,827,473
03:21,18,289,69,812,486
03:31,27,257,65,852,422
03:41,31,276,71,792,405
03:51,17,264,67,789,442
04:01,27,263,62,777,391
04:11,22,266,70,747,460
04:21,24,225,71,752,406
04:31,22,234,72,719,414
04:41,28,230,71,728,401
04:51,20,225,58,791,380
05:01,28,247,55,694,397
05:11,18,275,51,680,369
05:21,19,218,74,743,372
05:31,21,238,53,667,355
05:41,27,215,51,648,346
05:51,29,229,57,678,383
06:01,18,239,51,683,398
06:11,23,245,62,674,328
06:21,20,216,53,666,382
06:31,28,218,52,693,343
06:41,24,197,51,635,322
06:51,13,243,51,609,312
07:01,21,204,54,651,338
07:11,18,202,46,599,307
07:21,18,227,46,611,317
07:31,17,205,63,592,303
07:41,18,205,47,568,285
07:51,20,180,45,575,321
