,anger,happy,hate,neutral,sad,total
08:01,28,215,46,603,377,1269
08:11,28,214,66,620,330,1258
08:21,20,193,68,570,321,1172
08:31,30,181,55,592,360,1218
08:41,20,203,54,585,310,1172
08:51,17,180,40,565,342,1144
09:01,21,227,49,576,327,1200
09:11,24,195,56,559,285,1119
09:21,23,205,44,539,293,1104
09:31,27,220,42,508,300,1097
09:41,21,157,36,448,284,946
09:51,20,175,39,527,236,997
10:01,13,177,56,466,267,979
10:11,17,165,35,495,269,981
10:21,25,146,38,523,245,977
10:31,20,155,32,478,245,930
10:41,29,159,30,473,226,917
10:51,12,155,37,491,275,970
11:01,24,147,40,437,225,873
11:11,20,164,38,459,268,949
11:21,7,161,28,468,215,879
11:31,12,130,31,450,235,858
11:41,15,151,37,452,228,883
11:51,17,129,25,426,223,820
12:01,20,145,38,417,240,860
12:11,13,130,33,425,192,793
12:21,13,148,42,374,218,795
12:31,18,121,27,375,199,740
12:41,8,152,35,384,207,786
12:51,19,127,34,359,206,745
13:01,9,125,40,439,204,817
13:11,20,136,32,392,180,760
13:21,12,139,31,367,208,757
13:31,11,115,31,363,197,717
13:41,8,128,32,356,206,730
13:51,9,127,39,377,207,759
14:01,18,119,26,347,171,681
14:11,16,120,35,339,188,698
14:21,13,133,18,376,202,742
14:31,12,127,27,398,202,766
14:41,11,131,33,362,192,729
14:51,16,115,23,392,190,736
15:01,11,108,33,344,201,697
15:11,11,133,35,330,176,685
15:21,10,125,27,326,185,673
15:31,11,104,27,350,200,692
15:41,15,141,31,346,198,731
15:51,16,140,22,340,202,720
16:01,7,126,30,369,165,697
16:11,10,107,28,375,190,710
16:21,6,127,27,385,170,715
16:31,8,115,29,357,185,694
16:41,15,121,32,354,191,713
16:51,9,113,26,378,188,714
17:01,12,122,26,363,189,712
17:11,16,113,32,370,189,720
17:21,9,119,40,367,198,733
17:31,7,129,22,385,187,730
17:41,11,121,32,398,187,749
17:51,9,151,37,356,200,753
18:01,9,121,23,351,205,709
18:11,15,100,33,343,193,684
18:21,11,115,31,372,202,731
18:31,14,117,40,381,200,752
18:41,16,129,30,313,184,672
18:51,18,133,34,360,199,744
19:01,10,114,30,372,191,717
19:11,11,140,42,339,190,722
19:21,14,120,34,418,186,772
19:31,12,127,41,381,199,760
19:41,14,122,24,358,184,702
19:51,8,136,38,389,209,780
20:01,18,143,36,438,203,838
20:11,9,119,40,429,226,823
20:21,10,159,49,420,189,827
20:31,12,128,39,409,229,817
20:41,15,143,44,457,235,894
20:51,12,173,40,504,251,980
21:01,14,158,29,477,260,938
21:11,19,156,40,509,251,975
21:21,19,195,41,525,299,1079
21:31,28,185,33,575,288,1109
21:41,15,199,48,597,321,1180
21:51,30,194,51,560,335,1170
22:01,32,185,44,589,317,1167
22:11,25,199,64,590,320,1198
22:21,25,222,87,697,338,1369
22:31,21,218,68,695,344,1346
22:41,33,221,59,741,387,1441
22:51,16,242,57,735,397,1447
23:01,29,232,55,694,389,1399
23:11,22,232,82,759,424,1519
23:21,23,248,83,756,431,1541
23:31,17,225,78,805,453,1578
23:41,22,240,64,791,404,1521
23:51,28,277,71,810,457,1643
00:01,35,270,86,757,444,1592
00:11,19,285,74,827,494,1699
00:21,35,268,71,752,414,1540
00:31,30,296,58,810,461,1655
00:41,39,294,66,828,485,1712
00:51,22,251,94,852,412,1631
01:01,26,274,74,774,453,1601
01:11,16,240,77,813,454,1600
01:21,29,299,76,805,449,1658
01:31,27,278,74,779,438,1596
01:41,39,274,69,798,412,1592
01:51,28,260,78,872,450,1688
02:01,23,315,82,849,517,1786
02:11,41,371,81,967,559,2019
02:21,26,356,72,1023,533,2010
02:31,31,291,86,907,556,1871
02:41,27,334,92,932,503,1888
02:51,25,380,82,1015,586,2088
03:01,28,318,83,947,547,1923
03:11,30,273,66,887,511,1767
03:21,34,270,69,901,477,1751
03:31,23,296,77,813,494,1703
03:41,21,268,80,839,482,1690
03:51,30,295,68,865,516,1774
04:01,36,281,73,828,469,1687
04:11,26,303,72,814,461,1676
04:21,45,258,69,827,453,1652
04:31,36,294,78,810,465,1683
04:41,26,300,70,861,462,1719
04:51,29,275,73,844,462,1683
05:01,28,279,64,791,486,1648
05:11,38,274,83,753,432,1580
05:21,32,252,83,723,401,1491
05:31,28,254,78,739,430,1529
05:41,39,272,64,821,431,1627
05:51,29,276,75,748,441,1569
06:01,27,245,79,811,438,1600
06:11,33,246,84,747,422,1532
06:21,26,242,72,774,437,1551
06:31,36,262,84,728,418,1528
06:41,30,244,79,739,376,1468
06:51,33,242,62,719,421,1477
07:01,25,268,56,718,402,1469
07:11,22,250,66,739,402,1479
07:21,27,227,62,717,399,1432
07:31,28,229,70,653,373,1353
07:41,18,237,66,655,414,1390
07:51,29,201,48,600,363,1241
