Time,anger,happy,hate,neutral,sad
00:01,40,445,139,1469,760
00:11,36,497,111,1447,749
00:21,42,466,94,1434,685
00:31,31,548,113,1487,769
00:41,24,505,103,1466,741
00:51,42,538,120,1581,776
01:01,41,625,125,1617,788
01:11,37,579,124,1602,902
01:21,49,579,126,1490,879
01:31,39,649,111,1560,847
01:41,42,557,128,1512,803
01:51,48,589,118,1541,822
02:01,47,602,123,1758,942
02:11,50,642,129,1690,910
02:21,40,583,119,1443,834
02:31,42,506,98,1466,776
02:41,46,513,105,1333,704
02:51,49,499,112,1348,745
03:01,43,602,91,1493,750
03:11,31,569,109,1489,675
03:21,48,528,103,1448,732
03:31,34,506,95,1307,745
03:41,43,541,107,1448,782
03:51,36,537,108,1474,786
04:01,48,486,110,1407,719
04:11,44,481,99,1385,729
04:21,44,523,115,1379,767
04:31,37,470,92,1343,654
04:41,31,467,86,1290,706
04:51,33,468,106,1309,604
05:01,37,453,90,1312,682
05:11,30,431,88,1238,660
05:21,27,411,101,1157,638
05:31,39,388,97,1201,585
05:41,27,455,79,1163,568
05:51,38,438,72,1162,596
06:01,45,413,76,1153,585
06:11,32,420,89,1104,557
06:21,26,380,90,1113,589
06:31,32,381,77,1074,585
06:41,32,386,77,1019,562
06:51,25,396,78,1058,545
07:01,29,394,84,1032,539
07:11,35,364,93,988,506
07:21,32,347,73,974,504
07:31,22,345,82,957,459
07:41,25,354,78,858,472
07:51,27,321,77,962,492
08:01,38,377,73,938,460
08:11,34,386,86,870,450
08:21,40,357,81,935,509
08:31,35,306,83,903,483
08:41,27,329,67,936,448
08:51,31,340,73,880,451
09:01,28,322,79,836,445
09:11,21,303,58,847,442
09:21,21,312,70,832,440
09:31,20,300,77,818,410
09:41,21,289,66,780,427
09:51,32,319,72,836,460
10:01,24,297,64,785,407
10:11,22,282,70,770,381
10:21,24,263,53,789,398
10:31,27,253,68,791,381
10:41,21,313,71,787,390
10:51,20,252,70,790,444
11:01,28,283,61,829,452
11:11,24,295,66,824,439
11:21,20,249,58,876,423
11:31,33,237,59,797,361
11:41,32,253,69,758,415
11:51,24,241,58,733,384
12:01,22,235,67,744,386
12:11,21,255,67,744,397
12:21,22,242,65,725,367
12:31,15,264,51,738,367
12:41,25,236,54,700,348
12:51,20,267,53,704,407
13:01,25,260,55,723,374
13:11,24,251,61,707,363
13:21,20,254,51,660,336
13:31,24,261,57,699,331
13:41,17,211,61,618,354
13:51,24,237,46,606,324
14:01,26,286,54,821,398
14:11,17,277,56,808,415
14:21,23,276,49,728,371
14:31,11,249,53,684,373
14:41,22,238,46,677,326
14:51,18,207,63,650,334
15:01,26,214,63,631,345
15:11,21,244,44,660,343
15:21,19,237,46,659,342
15:31,19,200,52,638,319
15:41,14,243,47,661,341
15:51,22,229,58,639,299
16:01,20,238,49,657,335
16:11,27,224,67,618,331
16:21,15,222,58,667,344
16:31,21,231,49,653,322
16:41,17,204,66,657,306
16:51,21,241,54,661,331
17:01,23,224,65,583,298
17:11,24,216,69,656,303
17:21,25,233,50,603,329
17:31,21,215,59,610,331
17:41,18,222,67,610,325
17:51,21,230,58,702,313
18:01,23,218,40,651,364
18:11,22,260,53,665,321
18:21,10,247,52,625,319
18:31,16,215,47,675,392
18:41,25,219,57,651,337
18:51,18,265,52,678,392
19:01,26,231,69,740,368
19:11,14,246,53,761,414
19:21,25,285,65,776,412
19:31,25,245,60,823,418
19:41,19,272,69,803,399
19:51,24,279,60,779,383
20:01,25,340,60,959,406
20:11,29,350,84,955,443
20:21,26,319,80,1040,475
20:31,29,378,100,1040,519
20:41,33,366,78,1017,504
20:51,42,378,69,1093,564
21:01,36,378,83,1052,521
21:11,34,422,69,1145,578
21:21,40,406,101,1183,623
21:31,37,400,89,1223,628
21:41,34,432,82,1319,601
21:51,30,427,96,1234,576
22:01,38,477,107,1385,690
22:11,47,511,125,1473,699
22:21,43,433,110,1418,731
22:31,41,467,85,1403,736
22:41,49,472,105,1397,680
22:51,45,472,107,1467,672
23:01,36,520,123,1523,749
23:11,54,491,108,1537,738
23:21,44,533,122,1544,775
23:31,43,517,138,1478,724
23:41,50,475,102,1504,767
23:51,50,492,98,1456,769
