Time,anger,happy,hate,neutral,sad
08:01,15,176,40,498,259
08:31,12,185,37,440,252
09:01,7,183,46,461,239
08:41,15,163,47,440,237
08:11,10,185,43,554,251
08:21,15,165,53,461,254
08:51,13,175,46,508,250
09:11,13,129,50,465,266
09:31,14,150,36,422,222
10:01,12,159,41,405,201
09:21,15,182,43,396,253
09:51,12,191,48,403,247
10:11,14,140,44,408,248
09:41,12,183,37,442,234
10:21,16,159,38,395,243
10:31,13,168,34,425,230
11:31,13,132,30,382,200
11:01,13,141,35,420,214
10:41,12,177,42,432,213
11:11,9,139,31,388,211
11:41,9,139,33,355,187
11:21,18,132,33,400,206
10:51,19,159,36,428,210
12:11,10,129,38,377,214
12:31,9,118,51,361,194
12:21,12,119,37,375,214
12:01,19,133,40,398,198
11:51,15,144,43,378,156
13:21,12,131,24,335,191
13:11,12,125,39,366,178
12:41,12,140,39,408,209
12:51,8,134,26,344,209
13:31,12,111,31,371,185
13:01,11,119,27,339,184
14:11,11,114,25,339,168
14:31,14,138,40,357,179
15:01,10,132,44,351,182
13:51,10,142,34,302,192
16:01,9,106,36,356,209
14:41,5,111,38,316,166
13:41,19,124,26,315,158
15:21,10,118,25,375,164
15:31,13,108,24,340,177
15:51,11,116,31,337,206
15:11,11,110,22,410,173
14:21,14,114,25,358,168
14:01,10,132,31,337,197
16:51,13,130,37,351,180
18:21,15,120,26,381,200
17:01,18,130,26,362,172
16:11,15,141,24,388,193
16:21,10,129,42,356,203
16:31,10,127,20,344,173
14:51,11,103,22,352,191
17:41,18,115,26,333,208
17:31,12,144,32,381,187
17:11,12,117,39,352,183
18:51,11,126,35,457,256
16:41,19,133,23,304,197
20:41,18,187,61,575,284
15:41,5,119,36,322,177
19:31,11,169,43,449,243
20:01,10,185,50,505,267
18:31,12,135,35,391,178
17:21,10,115,28,336,192
18:41,11,133,34,389,217
19:01,9,144,37,395,209
20:11,16,189,45,508,282
19:51,16,158,44,504,243
17:51,10,103,39,369,184
18:11,18,125,44,340,214
18:01,15,120,40,374,177
20:21,15,197,38,478,274
22:01,28,219,54,620,326
21:21,20,218,47,585,254
19:41,14,162,52,493,239
19:21,20,191,51,421,232
22:11,26,239,50,646,346
19:11,13,131,48,388,236
20:31,14,193,49,462,245
21:01,11,196,50,587,295
21:51,23,210,51,613,349
21:11,21,195,52,538,326
21:41,22,214,62,577,325
20:51,18,201,62,553,300
22:21,15,251,56,718,367
21:31,15,190,56,641,314
22:31,20,226,57,670,382
23:11,24,231,46,711,380
00:21,34,275,66,699,408
22:41,26,265,67,703,353
22:51,24,233,59,689,350
23:21,19,242,75,725,388
23:31,22,225,61,712,377
23:51,23,245,68,753,393
01:51,37,299,72,843,476
01:31,30,260,83,862,444
00:01,22,261,64,717,389
23:01,18,226,51,682,337
00:11,32,273,66,773,402
01:41,26,281,77,795,428
00:31,21,248,62,771,425
01:21,26,291,61,865,529
23:41,24,242,50,727,378
01:11,23,303,87,820,437
00:51,41,277,68,701,413
01:01,25,274,46,758,394
00:41,25,250,80,775,383
03:01,28,243,67,733,420
02:11,25,262,67,807,441
02:31,18,263,79,755,396
02:01,21,269,57,782,439
03:21,34,283,58,777,433
03:41,17,261,66,708,388
02:21,37,253,72,729,388
03:51,19,257,76,728,373
03:31,26,276,58,735,392
04:11,24,295,73,794,375
02:51,27,256,77,767,439
02:41,30,286,71,726,409
03:11,36,280,79,733,415
04:41,26,279,63,771,396
05:01,28,249,75,680,351
05:21,17,259,66,674,388
04:01,26,248,80,712,390
05:31,23,254,59,672,389
05:41,30,249,55,693,356
04:21,14,238,54,768,394
06:21,23,226,66,598,299
04:51,31,272,71,719,417
07:41,18,174,50,539,258
06:01,21,241,46,688,343
04:31,21,267,71,714,384
06:51,20,207,62,594,298
07:01,23,215,58,565,290
07:11,19,210,56,583,299
05:51,24,264,53,620,336
06:31,19,196,51,593,308
06:11,13,275,52,696,337
06:41,23,214,44,610,301
05:11,23,238,61,691,389
07:31,19,222,41,580,343
07:51,22,198,48,523,286
07:21,21,199,33,531,271
